,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
1811,2511,2199.1646959017517,2451.0,2426.6666666666665,2160.6,2266.5,2247.9333333333334,2055.488,2255.97,2154.673333333333
1812,2512,2200.254333683105,2451.0,2436.3333333333335,2160.6,2266.5,2247.9333333333334,2055.488,2255.97,2154.673333333333
1813,2513,2201.343971464459,2451.0,2436.3333333333335,2160.6,2260.8,2252.366666666667,2055.488,2264.62,2154.673333333333
1814,2514,2202.4336092458125,2407.5,2436.3333333333335,2157.2,2260.8,2252.366666666667,2055.488,2264.62,2154.673333333333
1815,2515,2203.5232470271667,1761.5,1977.0,2157.2,2260.8,2252.366666666667,2055.488,2264.62,2154.673333333333
1816,2516,2204.61288480852,1761.5,1961.3333333333333,2157.2,2260.8,2304.1666666666665,2055.488,2264.62,2154.673333333333
1817,2517,2205.7025225898733,1761.5,1961.3333333333333,2157.2,2260.8,2304.1666666666665,2055.488,2264.62,2154.673333333333
1818,2518,2206.7921603712275,1761.5,1961.3333333333333,2157.2,2260.8,2308.0666666666666,2055.488,2288.03,2154.673333333333
1819,2519,2207.881798152581,1738.5,1961.3333333333333,2118.2,2252.9,2308.0666666666666,2055.488,2288.03,2154.673333333333
1820,2520,2208.971435933935,1738.5,1961.3333333333333,2118.2,2257.3,2308.0666666666666,2055.488,2288.03,2154.673333333333
1821,2521,2210.0610737152883,1738.5,1986.6666666666667,2118.2,2257.3,2308.0666666666666,2055.488,2288.03,2154.673333333333
1822,2522,2211.1507114966425,2422.0,2356.0,2118.2,2265.6,2314.4333333333334,2055.488,2288.03,2154.673333333333
1823,2523,2212.240349277996,2422.0,2356.0,2118.2,2265.6,2313.9,2055.488,2288.03,2154.673333333333
1824,2524,2213.329987059349,2353.5,2356.0,2118.2,2244.3,2313.9,2055.488,2279.62,2154.673333333333
1825,2525,2214.4196248407034,2353.5,2356.0,2118.2,2244.3,2327.366666666667,2055.488,2279.62,2154.673333333333
1826,2526,2215.5092626220567,2353.5,2356.0,2112.6,2244.3,2327.366666666667,2055.488,2280.53,2154.673333333333
1827,2527,2216.598900403411,2353.5,2356.0,2354.0,2244.3,2321.233333333333,2055.488,2280.53,2154.673333333333
1828,2528,2217.688538184764,2353.5,2362.0,2354.0,2244.3,2321.233333333333,2055.488,2280.53,2154.673333333333
1829,2529,2218.7781759661184,2353.5,2362.0,2374.0,2244.3,2321.233333333333,2055.488,2283.73,2154.673333333333
1830,2530,2219.8678137474717,2431.0,2362.0,2374.0,2239.5,2321.233333333333,2055.488,2283.73,2157.7166666666667
1831,2531,2220.957451528826,2351.0,2387.6666666666665,2370.4,2239.5,2388.366666666667,2055.488,2283.73,2157.7166666666667
1832,2532,2222.047089310179,2351.0,2387.6666666666665,2370.4,2239.5,2401.3,2055.488,2283.73,2157.7166666666667
1833,2533,2223.1367270915325,2351.0,2387.6666666666665,2370.4,2239.5,2401.3,2055.488,2281.28,2157.7166666666667
1834,2534,2224.2263648728867,2351.0,2387.6666666666665,2370.4,2388.0,2401.3,2055.488,2281.28,2157.7166666666667
1835,2535,2225.31600265424,2351.0,2387.6666666666665,2370.4,2388.0,2401.3,2055.488,2281.28,2157.7166666666667
1836,2536,2226.4056404355943,2365.5,2383.3333333333335,2370.4,2409.3,2401.3,2055.488,2281.28,2157.7166666666667
1837,2537,2227.4952782169476,2365.5,2383.3333333333335,2370.4,2409.3,2401.3,2055.488,2281.28,2157.7166666666667
1838,2538,2228.5849159983018,2365.5,2383.3333333333335,2366.4,2409.3,2401.3,2055.488,2281.28,2157.7166666666667
1839,2539,2229.674553779655,2365.5,2383.3333333333335,2366.4,2431.7,2403.4333333333334,2055.488,2281.28,2157.7166666666667
1840,2540,2230.7641915610084,2410.0,2363.3333333333335,2366.4,2435.8,2403.4333333333334,2055.488,2283.41,2157.7166666666667
1841,2541,2231.8538293423626,2410.0,2363.3333333333335,2366.4,2435.8,2403.4333333333334,2055.488,2287.89,2157.7166666666667
